date,open,high,low,close
2020.01.02 06:00:00,1520.26,1520.36,1519.77,1519.81
2020.01.02 06:30:00,1519.81,1520.05,1519.39,1519.39
2020.01.02 07:00:00,1519.37,1519.71,1518.95,1519.47
2020.01.02 07:30:00,1519.53,1520.36,1518.95,1520.19
2020.01.02 08:00:00,1520.20,1520.81,1519.81,1520.09
2020.01.02 08:30:00,1520.15,1520.91,1519.30,1520.87
2020.01.02 09:00:00,1520.94,1521.37,1519.18,1519.57
2020.01.02 09:30:00,1519.49,1520.31,1519.03,1519.11
2020.01.02 10:00:00,1519.11,1520.46,1518.38,1519.38
2020.01.02 10:30:00,1519.38,1520.93,1519.30,1520.75
2020.01.02 11:00:00,1520.75,1520.93,1519.52,1520.34
2020.01.02 11:30:00,1520.34,1521.35,1520.32,1520.60
2020.01.02 12:00:00,1520.61,1520.85,1519.60,1520.40
2020.01.02 12:30:00,1520.39,1521.39,1519.70,1521.19
2020.01.02 13:00:00,1521.19,1521.88,1521.18,1521.49
2020.01.02 13:30:00,1521.47,1522.39,1521.14,1521.93
2020.01.02 14:00:00,1521.92,1522.68,1521.52,1522.43
2020.01.02 14:30:00,1522.43,1523.61,1522.32,1523.08
2020.01.02 15:00:00,1523.08,1525.25,1522.68,1524.24
2020.01.02 15:30:00,1524.14,1529.01,1523.05,1528.04
2020.01.02 16:00:00,1528.04,1528.74,1527.13,1527.63
2020.01.02 16:30:00,1527.64,1530.53,1525.59,1526.25
2020.01.02 17:00:00,1526.31,1530.59,1525.83,1529.77
2020.01.02 17:30:00,1529.77,1531.32,1528.75,1529.10
2020.01.02 18:00:00,1529.10,1529.18,1526.91,1526.94
2020.01.02 18:30:00,1526.90,1528.12,1525.20,1525.45
2020.01.02 19:00:00,1525.47,1526.01,1522.75,1525.01
2020.01.02 19:30:00,1525.00,1525.58,1524.52,1525.19
2020.01.02 20:00:00,1525.19,1525.83,1524.94,1525.48
2020.01.02 20:30:00,1525.46,1526.47,1524.85,1526.29
2020.01.02 21:00:00,1526.29,1526.83,1525.49,1525.83
2020.01.02 21:30:00,1525.83,1526.89,1525.57,1526.70
2020.01.02 22:00:00,1526.75,1528.45,1526.45,1527.67
2020.01.02 22:30:00,1527.67,1528.55,1526.65,1528.31
2020.01.02 23:00:00,1528.31,1528.72,1527.91,1528.69
2020.01.02 23:30:00,1528.68,1529.01,1528.41,1528.77
2020.01.03 01:00:00,1528.25,1528.72,1527.86,1528.54
2020.01.03 01:30:00,1528.52,1528.85,1527.91,1528.84
2020.01.03 02:00:00,1529.11,1529.95,1528.95,1529.90
2020.01.03 02:30:00,1530.00,1530.60,1529.32,1530.53
2020.01.03 03:00:00,1530.49,1531.07,1529.88,1530.77
2020.01.03 03:30:00,1530.77,1535.78,1530.03,1534.89
2020.01.03 04:00:00,1534.89,1541.00,1532.54,1539.85
2020.01.03 04:30:00,1539.85,1539.85,1537.94,1538.19
2020.01.03 05:00:00,1538.25,1540.54,1537.68,1539.88
2020.01.03 05:30:00,1539.87,1539.87,1538.26,1538.59
2020.01.03 06:00:00,1538.56,1539.59,1537.39,1538.42
2020.01.03 06:30:00,1538.41,1539.17,1538.11,1538.73
2020.01.03 07:00:00,1538.73,1540.74,1538.23,1540.34
2020.01.03 07:30:00,1540.34,1543.80,1540.01,1541.42
2020.01.03 08:00:00,1541.42,1542.57,1541.12,1542.16
2020.01.03 08:30:00,1542.16,1542.21,1540.99,1541.18
2020.01.03 09:00:00,1541.26,1542.88,1540.12,1540.25
2020.01.03 09:30:00,1540.25,1543.95,1540.25,1543.39
2020.01.03 10:00:00,1543.42,1545.36,1542.98,1543.32
2020.01.03 10:30:00,1543.31,1544.73,1542.87,1544.24
2020.01.03 11:00:00,1544.23,1547.49,1544.11,1547.19
2020.01.03 11:30:00,1547.19,1550.30,1546.69,1546.75
2020.01.03 12:00:00,1546.79,1547.86,1545.26,1547.33
2020.01.03 12:30:00,1547.34,1549.54,1546.92,1548.44
2020.01.03 13:00:00,1548.49,1549.69,1547.89,1549.37
2020.01.03 13:30:00,1549.37,1551.46,1548.93,1549.33
2020.01.03 14:00:00,1549.31,1549.97,1545.32,1546.77
2020.01.03 14:30:00,1546.77,1546.89,1545.72,1546.39
2020.01.03 15:00:00,1546.39,1546.63,1540.86,1542.59
2020.01.03 15:30:00,1542.59,1547.33,1542.39,1546.25
2020.01.03 16:00:00,1546.29,1547.90,1544.62,1547.87
2020.01.03 16:30:00,1547.85,1548.05,1544.03,1545.98
2020.01.03 17:00:00,1549.75,1551.01,1546.77,1549.73
2020.01.03 17:30:00,1549.67,1550.22,1547.44,1548.84
2020.01.03 18:00:00,1548.84,1549.54,1547.53,1549.34
2020.01.03 18:30:00,1549.43,1550.45,1548.15,1548.27
2020.01.03 19:00:00,1548.27,1548.30,1546.97,1548.18
2020.01.03 19:30:00,1548.18,1548.85,1548.00,1548.79
2020.01.03 20:00:00,1548.79,1550.25,1548.35,1549.77
2020.01.03 20:30:00,1549.75,1553.43,1548.85,1549.42
2020.01.03 21:00:00,1549.43,1549.77,1547.51,1547.86
2020.01.03 21:30:00,1547.96,1548.03,1546.20,1547.81
2020.01.03 22:00:00,1547.80,1548.61,1546.87,1547.59
2020.01.03 22:30:00,1547.67,1549.02,1547.19,1549.02
2020.01.03 23:00:00,1549.00,1550.21,1548.57,1550.13
2020.01.03 23:30:00,1550.16,1551.93,1550.15,1551.44
2020.01.06 01:00:00,1575.89,1582.09,1571.63,1574.26
2020.01.06 01:30:00,1574.26,1574.52,1566.91,1569.08
2020.01.06 02:00:00,1569.07,1570.78,1566.95,1569.65
2020.01.06 02:30:00,1569.65,1570.22,1568.55,1569.44
2020.01.06 03:00:00,1569.43,1576.39,1568.76,1574.31
2020.01.06 03:30:00,1574.31,1579.96,1573.96,1577.72
2020.01.06 04:00:00,1577.72,1577.97,1575.17,1576.85
2020.01.06 04:30:00,1576.85,1577.75,1576.56,1577.46
2020.01.06 05:00:00,1577.46,1579.03,1576.78,1578.75
2020.01.06 05:30:00,1578.80,1579.46,1577.26,1578.00
2020.01.06 06:00:00,1578.00,1578.33,1575.53,1575.77
2020.01.06 06:30:00,1575.76,1576.53,1574.85,1576.03
2020.01.06 07:00:00,1576.05,1577.28,1575.89,1576.74
2020.01.06 07:30:00,1576.74,1577.31,1573.46,1574.88
2020.01.06 08:00:00,1574.85,1577.68,1574.77,1577.08
2020.01.06 08:30:00,1577.08,1577.47,1573.59,1574.32
2020.01.06 09:00:00,1574.26,1575.12,1571.09,1571.40
2020.01.06 09:30:00,1571.40,1574.23,1570.13,1574.12
2020.01.06 10:00:00,1573.76,1573.76,1571.25,1573.42
2020.01.06 10:30:00,1573.34,1576.47,1572.93,1575.64
2020.01.06 11:00:00,1575.62,1577.04,1574.22,1576.73
2020.01.06 11:30:00,1576.75,1577.98,1575.04,1577.17
2020.01.06 12:00:00,1577.15,1577.25,1575.01,1576.83
2020.01.06 12:30:00,1576.83,1577.62,1576.23,1577.54
